name,str_hausnr,plz_ort,kategorie,hauptkateg,beschreib,url,bedeutung,prioritaet,poi_id,angelegt,geaendert,qstatus_id,coll_id,coll_pfad,coll_desc,ma_darst,ma_sign,sammlung,samm_pfad
Schulverbund Feldsieper Schule,Feldsieper Straße 94,44809 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.feldsieper.bobi.net,"3","1","186",2009/06/05,2020/08/05,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Frauenlobschule,Frauenlobstraße 91,44805 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.frauenlob.bobi.net,"3","1","189",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Freie Schule Bochum e.V.,Wiemelhauser Straße 270,44799 Bochum,Private Ersatzschulen,Bildung,Private Schule mit besonderer Prägung-. Primar und Sekundarstufe I (Gesamtschule).,www.freieschule-bochum.de,"3","1","190",2009/06/05,2020/05/20,"3","58",Bildung/Privatschulen/Private Ersatzschulen,,"1",61100000XESchuleAllgemein,,
Friederika-Schule,Friederikastraße 19,44789 Bochum,Grundschulen,Bildung,"städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.friederika-schule.de,"3","1","191",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Evangelische Erwachsenenbildung,Westring 26a,44787 Bochum,Weiterbildungseinrichtungen,Bildung,,www.eb-bochum.de,"3","1","191040",2012/02/24,2018/09/24,"3","254",Bildung/Weiterbildungseinrichtungen,Weiterbildungseinrichtungen und Erwachsenenbildung,"1",61200000XEWeiterbildung,,
Schule An der Maarbrücke,An der Maarbrücke 75,44793 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.grundschule-maarbruecke.de/,"3","1","193",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Arnoldschule,Arnoldstraße 31,44793 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.arnoldschule.bobi.net,"3","1","194",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Schulverbund Lina-Morgenstern-Schule,Bonhoefferstraße 50,44803 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.lina-morgenstern-schule.de,"3","1","195",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Schule im Kirchviertel Teilstandort,Borgholzstraße 27,44799 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.brenscheder-grundschule.de/,"3","1","196",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Bunte Schule Teilstandort,Hörder Straße 116,44892 Bochum,Grundschulen,Bildung,"Städtische Gemeinschaftsgrundschule, offene Ganztagsschule",www.bunte-schule.bobi.net/,"3","1","197",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
Schulverbund Lina-Morgenstern-Schule Teilstandort,Havelstraße 12,44791 Bochum,Grundschulen,Bildung,"Gemeinschaftsgrundschule mit Kindertagesstätte, offene Ganztagsschule",www.lina-morgenstern-schule.de,"3","1","198",2009/06/05,2020/08/04,"3","8",Bildung/Allgemeinbildende Schulen/Grundschulen,,"1",61101000XESchuleAllgemeinGrundschule,,
"RUB, Fakultät für Sportwissenschaft",Gesundheitscampus-Nord 10,44801 Bochum,Staatliche Universitäten,Bildung,Bachelor/Master-Studiengänge der Sportwissenschaft.,www.spowiss.rub.de,"3","1","200807",2012/06/14,2020/04/21,"3","184529",Bildung/Hochschulen/Universitäten/Staatliche Universitäten,Universitäten des Landes NRW,"1",61301000XEWissenschaftHochschule,,
IFK Kompetenzzentrum der Gesundheitsberufe,Gesundheitscampus-Süd 33,44801 Bochum,Weiterbildungseinrichtungen,Bildung,Geschäftsstelle und Fortbildungseinrichtung des Bundesverbandes selbständiger Physiotherapeuten (IFK),www.ifk.de/,"2","2","200810",2012/06/14,2018/10/15,"3","254",Bildung/Weiterbildungseinrichtungen,Weiterbildungseinrichtungen und Erwachsenenbildung,"1",61200000XEWeiterbildung,,
IFK Kompetenzzentrum der Gesundheitsberufe,Gesundheitscampus-Süd 33,44801 Bochum,Schulen im Gesundheitsbereich,Bildung,Geschäftsstelle und Fortbildungseinrichtung des Bundesverbandes selbständiger Physiotherapeuten (IFK),www.ifk.de/,"2","1","200810",2012/06/14,2018/10/15,"3","54",Bildung/Berufsschulen/Schulen im Gesundheitsbereich,"Schulen im Bereich des Gesundheitswesens: Krankenpflege-, Logopäden-, Heilpraktiker-, Hebammenschulen etc.","1",61201200XEWeiterbildungFachschule,,
Landeszentrum Gesundheit Nordrhein-Westfalen (LZG.NRW),Gesundheitscampus-Süd 9,44801 Bochum,Wissenschaft und Forschung,Bildung,,www.lzg.nrw.de,"2","2","200816",2012/06/14,2018/09/17,"3","299",Bildung/Hochschulen/Wissenschaft und Forschung,,"1",61300000XEWissenschaft,,
Gesundheitscampus NRW,Gesundheitscampus,44801 Bochum,Wissenschaft und Forschung,Bildung,,www.gc-bo.de/de/,"2","1","200819",2012/06/14,2018/09/24,"3","299",Bildung/Hochschulen/Wissenschaft und Forschung,,"1",61300000XEWissenschaft,,
