OBJECTID;planid;name;datum;scanurl;kategorie;katart;klassifins;Bezeichnun;URL2;X_ETRS89;Y_ETRS89;kurzbe
642;DE_05911000_A615;Gewerkenstr. 12 IV;2005-08-15;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A615.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A615.jpg;381838;5709462;Wohnhaus / Geschäftshaus
643;DE_05911000_A615;Gewerkenstr. 12 V;2005-08-15;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A615.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A615.jpg;381875;5709424;Wohnhaus / Geschäftshaus
644;DE_05911000_A615;Gewerkenstr. 12 VI;2005-08-15;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A615.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A615.jpg;381849;5709394;Wohnhaus / Geschäftshaus
645;DE_05911000_A615;Gewerkenstr. 12 VII;2005-08-15;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A615.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A615.jpg;381835;5709356;Wohnhaus / Geschäftshaus
646;DE_05911000_A615;Gewerkenstr. 12 VIII;2005-08-15;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A615.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A615.jpg;381914;5709367;Wohnhaus / Geschäftshaus
647;DE_05911000_A232;Goethestr. 5;1991-07-31;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A232.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A232.jpg;376413;5705490;Wohnhaus / Geschäftshaus
648;DE_05911000_A478;Goethestr. 7;1999-03-22;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A478.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A478.jpg;376417;5705537;Wohnhaus / Geschäftshaus
649;DE_05911000_A502;Goldhammer Str. 39;1999-11-22;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A502.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A502.jpg;374139;5704633;Wohnhaus / Geschäftshaus
650;DE_05911000_A503;Goldhammer Str. 41;1999-11-22;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A503.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A503.jpg;374136;5704647;Wohnhaus / Geschäftshaus
651;DE_05911000_A648;Gluecksburger Str. 27-35;2009-11-19;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A648.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A648.jpg;377266;5701188;Studentenwohnheim
652;DE_05911000_A564;Graf-Adolf-Str. 2;2003-10-09;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A564.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A564.jpg;371121;5704555;Wohnhaus / Geschäftshaus
653;DE_05911000_A241;Graf-Adolf-Str. 8;1991-08-08;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A241.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A241.jpg;371205;5704584;Wohnhaus / Geschäftshaus
654;DE_05911000_A559;Graf-Adolf-Str. 11;2003-05-23;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A559.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A559.jpg;371191;5704628;Wohnhaus / Geschäftshaus
655;DE_05911000_A560;Graf-Adolf-Str. 15;2003-05-23;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A560.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A560.jpg;371246;5704645;Wohnhaus / Geschäftshaus
656;DE_05911000_A561;Graf-Adolf-Str. 17;2003-05-23;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A561.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A561.jpg;371287;5704658;Wohnhaus / Geschäftshaus
657;DE_05911000_A562;Graf-Adolf-Str. 20;2003-05-23;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A562.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A562.jpg;371320;5704621;Wohnhaus / Geschäftshaus
658;DE_05911000_A107;Graf-Adolf-Str. 22;1989-10-19;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Begruendung/A107.pdf;DSchG NRW;1000;3000;Wohnhaus / Geschäftshaus;http://geodatenportal.bochum.de/bogeo/web/61/Denkmalliste/Foto/A107.jpg;371336;5704626;Wohnhaus / Geschäftshaus
